git_commit,timestamp,worker_count,rep,job_id,state,duration_s,makespan_s,jobs_per_min,setting_worker_heartbeat_interval,setting_worker_heartbeat_timeout,setting_scheduler_loop_interval,setting_worker_poll_interval,setting_leader_lock_ttl,setting_leader_heartbeat_interval,setting_retry_base_delay
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,a767379b-5220-40d1-bff8-92839042c9d3,COMPLETED,4.101,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,047783f9-3974-4ee2-a91f-9e098ff657cd,COMPLETED,4.247,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,d344a3e4-ecfc-446f-b743-232a8923f181,COMPLETED,4.103,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,bc04eab5-1e5d-4ce2-9e53-f12bf3fd57b1,COMPLETED,4.248,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,c8d407f6-bafd-485f-bc1f-1d62b7048d7d,COMPLETED,4.107,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,a00d1787-60a2-49fb-95be-1e7dea1e9ef9,COMPLETED,4.25,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,d1fbff92-e11c-41a7-a43a-a4e5a86487ba,COMPLETED,4.113,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,8dd0e9ff-a43e-47a0-965b-8e3e6fe15972,COMPLETED,4.272,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,09799bb8-e4e4-4485-841c-6f47b5ad2f23,COMPLETED,1.382,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,38d30660-aa96-4e44-b674-68bf0a60ced1,COMPLETED,0.959,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,781708ab-ad64-4985-9e51-5fa9dbc3be81,COMPLETED,0.886,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,bd0ebe4c-2531-4f11-8cf3-c33db0ca5987,COMPLETED,0.729,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,3cfbd720-e76b-4fc9-9dda-3459bcb96907,COMPLETED,0.689,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,5e3263b1-46f0-484e-a17c-e806930b2e46,COMPLETED,0.799,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,784edc06-4e5f-4834-9230-c77ec4687f07,COMPLETED,0.741,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,59670912-2d6b-49bf-ad4e-123f6ed5251e,COMPLETED,0.797,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,103f3a17-550c-45f2-a7e0-5910281f40ec,COMPLETED,0.776,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,6463a1b3-25fc-47fe-b5e0-d21a3f763600,COMPLETED,1.068,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
ebb196c,2026-06-11T16:44:06.252885+00:00,2,1,7e493f65-72da-4aca-adcf-15aae5a06d97,COMPLETED,4.253,21.269,53.6,2.0,15.0,0.1,0.5,15.0,5.0,2.0
