t_s,queued,scheduled,running,completed
435.7,21,0,0,19
437.7,21,0,0,19
439.7,21,0,0,19
441.7,21,0,0,19
443.7,21,0,0,19
445.7,21,0,0,19
451.1,21,0,0,19
453.1,21,0,0,19
455.1,21,0,0,19
457.1,21,0,0,19
459.1,21,0,0,19
461.1,21,0,0,19
463.1,21,0,0,19
465.1,21,0,0,19
467.1,21,0,0,19
469.2,21,0,0,19
471.2,21,0,0,19
473.2,21,0,0,19
475.2,21,0,0,19
477.2,21,0,0,19
479.2,21,0,0,19
484.5,21,0,0,19
486.6,21,0,0,19
488.6,21,0,0,19
490.6,21,0,0,19
492.6,21,0,0,19
494.6,21,0,0,19
496.6,21,0,0,19
498.6,21,0,0,19
500.6,21,0,0,19
502.6,21,0,0,19
504.6,21,0,0,19
506.7,21,0,0,19
508.7,21,0,0,19
510.7,21,0,0,19
512.7,21,0,0,19
518.0,21,0,0,19
520.0,21,0,0,19
522.1,21,0,0,19
524.1,21,0,0,19
526.1,21,0,0,19
528.1,21,0,0,19
530.1,21,0,0,19
532.1,21,0,0,19
534.1,21,0,0,19
536.1,21,0,0,19
538.2,21,0,0,19
540.2,21,0,0,19
542.2,21,0,0,19
544.2,21,0,0,19
546.2,21,0,0,19
551.5,21,0,0,19
553.5,21,0,0,19
555.5,21,0,0,19
557.6,21,0,0,19
559.6,21,0,0,19
561.6,21,0,0,19
563.6,21,0,0,19
565.6,21,0,0,19
567.6,21,0,0,19
569.6,21,0,0,19
571.6,21,0,0,19
573.6,21,0,0,19
575.7,21,0,0,19
577.7,21,0,0,19
579.7,21,0,0,19
585.2,21,0,0,19
587.2,21,0,0,19
589.2,21,0,0,19
591.2,21,0,0,19
593.2,21,0,0,19
595.2,21,0,0,19
597.2,21,0,0,19
599.2,21,0,0,19
601.3,21,0,0,19
603.3,21,0,0,19
605.3,21,0,0,19
607.3,21,0,0,19
609.3,21,0,0,19
611.3,21,0,0,19
613.8,21,0,0,19
618.6,21,0,0,19
620.6,21,0,0,19
622.6,21,0,0,19
624.6,21,0,0,19
626.6,21,0,0,19
628.6,21,0,0,19
630.6,21,0,0,19
632.7,21,0,0,19
634.7,21,0,0,19
636.7,21,0,0,19
638.7,21,0,0,19
640.7,21,0,0,19
642.7,21,0,0,19
644.7,21,0,0,19
647.3,21,0,0,19
652.2,21,0,0,19
654.2,21,0,0,19
656.3,21,0,0,19
658.3,21,0,0,19
660.3,21,0,0,19
662.3,21,0,0,19
664.3,21,0,0,19
666.3,21,0,0,19
668.3,21,0,0,19
