t_s,queued,scheduled,running,completed
0.0,1,0,0,19
2.0,21,0,0,19
4.0,21,0,0,19
6.1,21,0,0,19
8.1,21,0,0,19
10.1,21,0,0,19
12.1,21,0,0,19
17.5,21,0,0,19
19.5,21,0,0,19
21.5,21,0,0,19
23.5,21,0,0,19
25.5,21,0,0,19
27.5,21,0,0,19
29.5,21,0,0,19
31.5,21,0,0,19
33.5,21,0,0,19
35.6,21,0,0,19
37.6,21,0,0,19
39.6,21,0,0,19
41.6,21,0,0,19
43.6,21,0,0,19
45.6,21,0,0,19
50.9,21,0,0,19
52.9,21,0,0,19
55.0,21,0,0,19
57.0,21,0,0,19
59.0,21,0,0,19
61.0,21,0,0,19
63.0,21,0,0,19
65.0,21,0,0,19
67.0,21,0,0,19
69.0,21,0,0,19
71.0,21,0,0,19
73.1,21,0,0,19
75.1,21,0,0,19
77.1,21,0,0,19
79.1,21,0,0,19
84.4,21,0,0,19
86.5,21,0,0,19
88.5,21,0,0,19
90.5,21,0,0,19
92.5,21,0,0,19
94.5,21,0,0,19
96.5,21,0,0,19
98.5,21,0,0,19
100.5,21,0,0,19
102.6,21,0,0,19
104.6,21,0,0,19
106.6,21,0,0,19
108.6,21,0,0,19
110.6,21,0,0,19
112.6,21,0,0,19
118.0,21,0,0,19
120.0,21,0,0,19
122.0,21,0,0,19
124.0,21,0,0,19
126.0,21,0,0,19
128.0,21,0,0,19
130.0,21,0,0,19
132.1,21,0,0,19
134.1,21,0,0,19
136.1,21,0,0,19
138.1,21,0,0,19
140.1,21,0,0,19
142.1,21,0,0,19
144.1,21,0,0,19
146.1,21,0,0,19
151.5,21,0,0,19
153.5,21,0,0,19
155.5,21,0,0,19
157.5,21,0,0,19
159.5,21,0,0,19
161.5,21,0,0,19
163.6,21,0,0,19
165.6,21,0,0,19
167.6,21,0,0,19
169.6,21,0,0,19
171.6,21,0,0,19
173.6,21,0,0,19
175.6,21,0,0,19
177.6,21,0,0,19
179.6,21,0,0,19
185.0,21,0,0,19
187.0,21,0,0,19
189.0,21,0,0,19
191.0,21,0,0,19
193.0,21,0,0,19
195.0,21,0,0,19
197.0,21,0,0,19
199.0,21,0,0,19
201.0,21,0,0,19
203.1,21,0,0,19
205.1,21,0,0,19
207.1,21,0,0,19
209.1,21,0,0,19
211.1,21,0,0,19
213.1,21,0,0,19
218.5,21,0,0,19
220.5,21,0,0,19
222.5,21,0,0,19
224.5,21,0,0,19
226.5,21,0,0,19
228.5,21,0,0,19
230.5,21,0,0,19
232.5,21,0,0,19
234.6,21,0,0,19
236.6,21,0,0,19
238.6,21,0,0,19
240.6,21,0,0,19
242.6,21,0,0,19
244.6,21,0,0,19
250.0,21,0,0,19
252.0,21,0,0,19
254.0,21,0,0,19
256.0,21,0,0,19
258.0,21,0,0,19
260.0,21,0,0,19
262.1,21,0,0,19
264.1,21,0,0,19
266.1,21,0,0,19
268.1,21,0,0,19
270.1,21,0,0,19
272.1,21,0,0,19
274.2,21,0,0,19
276.2,21,0,0,19
278.2,21,0,0,19
283.5,21,0,0,19
285.5,21,0,0,19
287.5,21,0,0,19
289.6,21,0,0,19
291.6,21,0,0,19
293.6,21,0,0,19
295.6,21,0,0,19
297.6,21,0,0,19
299.6,21,0,0,19
301.6,21,0,0,19
303.6,21,0,0,19
305.7,21,0,0,19
307.7,21,0,0,19
309.7,21,0,0,19
311.7,21,0,0,19
317.0,21,0,0,19
319.0,21,0,0,19
321.1,21,0,0,19
323.1,21,0,0,19
325.1,21,0,0,19
327.1,21,0,0,19
329.1,21,0,0,19
331.1,21,0,0,19
333.1,21,0,0,19
335.2,21,0,0,19
337.2,21,0,0,19
339.2,21,0,0,19
341.2,21,0,0,19
343.2,21,0,0,19
345.2,21,0,0,19
350.7,21,0,0,19
352.7,21,0,0,19
354.7,21,0,0,19
356.7,21,0,0,19
358.7,21,0,0,19
360.7,21,0,0,19
362.7,21,0,0,19
364.7,21,0,0,19
366.8,21,0,0,19
368.8,21,0,0,19
370.8,21,0,0,19
372.8,21,0,0,19
374.8,21,0,0,19
376.8,21,0,0,19
378.8,21,0,0,19
384.1,21,0,0,19
386.1,21,0,0,19
388.1,21,0,0,19
390.1,21,0,0,19
392.1,21,0,0,19
394.1,21,0,0,19
396.2,21,0,0,19
398.2,21,0,0,19
400.2,21,0,0,19
402.2,21,0,0,19
404.2,21,0,0,19
406.2,21,0,0,19
408.2,21,0,0,19
410.2,21,0,0,19
412.2,21,0,0,19
417.6,21,0,0,19
419.6,21,0,0,19
421.6,21,0,0,19
423.6,21,0,0,19
425.6,21,0,0,19
427.6,21,0,0,19
429.6,21,0,0,19
431.7,21,0,0,19
433.7,21,0,0,19
