t_s,queued,scheduled,running,completed
0.0,1,0,0,0
5.4,12,0,8,0
7.4,12,0,8,0
9.4,12,0,8,0
11.4,12,0,8,0
13.4,12,0,8,0
15.4,4,0,8,8
17.4,4,0,8,8
19.4,4,0,8,8
21.5,4,0,8,8
23.5,4,0,8,8
25.5,0,0,4,16
27.5,0,0,4,16
29.5,0,0,4,16
31.5,0,0,4,16
33.5,0,0,4,16
