worker_count,job_id,state,duration_s,makespan_s,ideal_makespan_s
8,6e401768-eb13-40ca-8b88-cdf2f0ecb8d8,COMPLETED,10.16,11.84,25.0
8,ec64b650-ed13-4ad4-bd52-4d1654368e11,COMPLETED,10.22,11.84,25.0
8,c7dfdd2a-b790-4be5-997f-ec0d45a9fc35,COMPLETED,10.14,11.84,25.0
8,4577b798-b948-4216-9af9-ccf8b3187330,COMPLETED,10.1,11.84,25.0
8,68ca3ec2-c62b-4550-ab8e-3a4bcfdb9a5d,COMPLETED,10.05,11.84,25.0
8,9dfaf3a8-9fea-4bf0-a198-72713120a713,COMPLETED,10.22,11.84,25.0
8,c1c85988-8edc-4b2e-939a-8143f82fa352,COMPLETED,10.05,11.84,25.0
8,2fd6d67c-53b3-49b6-86a4-38aff681058c,COMPLETED,10.07,11.84,25.0
8,87d3efe8-911f-4fe3-93b4-6399ac4912ff,COMPLETED,10.05,11.84,25.0
8,5db0899a-0134-4403-800f-2dd0840c6502,COMPLETED,10.03,11.84,25.0
8,10246716-1697-447b-9464-b1496c69cde9,COMPLETED,10.05,11.84,25.0
8,e7f487c2-01d9-44cc-a409-05877633d3dd,COMPLETED,10.07,11.84,25.0
8,0feab437-76b0-460f-8705-cb94b4c79880,COMPLETED,10.09,11.84,25.0
8,e225460f-6da5-46a3-af95-cc47d2b9c226,COMPLETED,10.03,11.84,25.0
8,db743c3d-2e00-4fe7-bf60-0cdbbf711e77,COMPLETED,10.04,11.84,25.0
8,261c4beb-6fa4-4327-9b32-8b66ea5ba515,COMPLETED,10.06,11.84,25.0
8,169a1a6f-1224-4db9-b202-8923a0d4086a,COMPLETED,10.03,11.84,25.0
8,f6ee2b22-b561-4ab2-941a-43e991f1f290,COMPLETED,10.06,11.84,25.0
8,e3f8f9e9-3265-4234-85bb-16f45fb160af,COMPLETED,10.06,11.84,25.0
8,ac949596-9e8a-49d5-ae25-2c91d31fc159,COMPLETED,10.03,11.84,25.0
