t_s,queued,scheduled,running,completed
0.1,1,0,0,24
2.1,15,0,5,24
4.1,15,0,5,24
6.1,15,0,5,24
8.1,15,0,5,24
10.1,15,0,5,24
15.5,12,0,3,29
17.5,12,0,3,29
19.6,12,0,3,29
21.6,12,0,3,29
23.6,12,0,3,29
25.6,9,0,3,32
27.6,9,0,3,32
29.6,9,0,3,32
31.6,9,0,3,32
33.6,9,0,3,32
35.7,6,1,2,35
37.7,6,0,3,35
39.7,6,0,3,35
41.7,6,0,3,35
43.7,6,0,3,35
49.0,4,0,3,37
51.0,3,0,3,38
53.0,3,0,3,38
55.0,3,0,3,38
57.0,3,0,3,38
59.0,1,0,3,40
61.0,0,0,3,41
63.0,0,0,3,41
65.0,0,0,3,41
67.1,0,0,3,41
69.1,0,0,1,43
71.1,0,0,0,44
