t_s,queued,scheduled,running,completed
0.0,0,0,0,20
2.0,18,0,1,21
4.1,17,0,1,22
6.1,15,0,1,24
8.1,13,0,1,26
10.1,11,0,1,28
12.1,10,0,1,29
14.1,8,1,0,31
16.1,7,0,1,32
18.1,5,0,1,34
20.2,3,0,1,36
22.2,2,0,1,37
24.4,0,0,1,39
29.9,0,0,0,40
