t_s,queued,scheduled,running,completed
0.0,1,0,0,0
2.1,16,0,4,0
4.1,12,0,4,4
6.2,8,0,4,8
8.2,3,1,3,13
10.2,0,0,0,20
12.2,0,0,0,20
