git_commit,timestamp,worker_count,rep,job_id,state,duration_s,makespan_s,jobs_per_min,setting_worker_heartbeat_interval,setting_worker_heartbeat_timeout,setting_scheduler_loop_interval,setting_worker_poll_interval,setting_leader_lock_ttl,setting_leader_heartbeat_interval,setting_retry_base_delay
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,3b3a5863-3cbf-4609-8a01-65017a5020d2,COMPLETED,1.637,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,e803e500-874b-4773-883f-20b5c91cfbb3,COMPLETED,1.621,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,496ef990-59cb-4a9f-867a-62f8d73fe763,COMPLETED,1.038,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,fe1f61c4-0636-4678-b264-e8b9d820f900,COMPLETED,1.025,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,0817ce37-bf28-4584-8b32-2d407f48ac32,COMPLETED,0.912,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,7910d97f-c49f-481e-9ab8-788e2e7478a9,COMPLETED,0.921,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,9925e6be-c6f6-44b5-9488-cbd8bf382ece,COMPLETED,0.91,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,d65fd579-a9b8-4200-b806-9d8c0f338998,COMPLETED,0.889,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,d8f6beac-280a-48ab-9007-5ad547e58213,COMPLETED,1.295,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,ff7b06ac-6d0f-4386-aad0-2ceaf1ebf5b2,COMPLETED,1.311,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,46d511be-c548-4b38-aac6-d9425aff8edf,COMPLETED,1.074,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,0b65904e-27d8-422d-a8cb-d0d027b5b775,COMPLETED,1.035,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,e6cf4098-63f5-467c-9849-07e33d1a9347,COMPLETED,0.82,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,cfe1eded-a482-4261-99a2-33ba87eeb3ae,COMPLETED,0.964,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,816d2290-ba8f-4110-b70a-6abad33ad2f4,COMPLETED,0.725,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,4074fce9-aa56-48d1-862f-00329a05b677,COMPLETED,0.906,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,b5a79754-af35-4c47-bc0c-ffe037ce8e54,COMPLETED,0.893,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,715bf3c0-2c3d-4707-b299-b37029dd163d,COMPLETED,0.792,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,176df6bc-21ca-4b75-b8c0-64b90a34ea78,COMPLETED,0.844,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,1,289b3bf0-332f-457d-b9b0-fc4831cab36b,COMPLETED,0.931,16.065,74.7,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,4571fe27-9200-4c9f-b55a-144edd8e9b9c,COMPLETED,0.889,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,6891db46-e8d8-4167-bb22-ac1ce306d219,COMPLETED,0.842,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,274d4ae5-63a1-4321-8df5-30d925a7d7e1,COMPLETED,0.924,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,b7a7629b-670a-415f-adf3-3691e45bcd0e,COMPLETED,0.953,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,ad19163e-b68a-42fd-9111-86c2b4628ba3,COMPLETED,0.863,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,9402a158-f6dd-49ae-8fd6-528419c9a56f,COMPLETED,0.849,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,a96d5f5f-3f89-4f39-b51f-0a0323e66eb8,COMPLETED,1.016,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,dfbf6e58-cfb0-4780-bb55-7a9af78d5123,COMPLETED,1.053,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,11ac0f96-7673-4819-b315-c6d050a62ace,COMPLETED,0.747,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,15ad2620-ea1f-430f-9b04-8e4b346d39c4,COMPLETED,0.765,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,4d236a67-3ae7-4a97-b85d-340fb070e59a,COMPLETED,0.911,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,4e2ec34f-1524-440b-a327-12d4147e4aeb,COMPLETED,0.922,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,e905476a-fa4b-4b37-992f-c1bb24c4546e,COMPLETED,0.769,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,186320a8-40f7-4c12-8c2b-e7f518e4abb4,COMPLETED,0.936,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,72439142-10a8-4736-9565-6e40f080e846,COMPLETED,1.075,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,b9272f65-64b6-4809-8440-d47741218630,COMPLETED,0.802,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,a058c004-ac0d-4d18-a67a-b05f1a17b5ff,COMPLETED,0.757,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,83c61043-7158-48f6-8d19-68a39b017ab1,COMPLETED,0.817,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,8b850bd9-a464-45fb-8cc2-963acdd06ce5,COMPLETED,0.891,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:51:20.966248+00:00,2,2,b6a96e22-315a-4475-91e7-d4d070260420,COMPLETED,0.908,13.195,90.94,2.0,15.0,0.1,0.5,15.0,5.0,2.0
