worker_count,job_id,state,duration_s,makespan_s,ideal_makespan_s
4,44a53653-0054-4c3e-9fcd-dfb88c6efde6,COMPLETED,10.12,58.47,50.0
4,de22e730-96dd-4d9c-81fe-eca6d2961b3a,COMPLETED,10.02,58.47,50.0
4,e77a3af7-a8fb-45e1-a8d0-c007fe25d63c,COMPLETED,10.02,58.47,50.0
4,ba89185d-6628-40d1-a718-aa3d16ac105d,COMPLETED,10.11,58.47,50.0
4,a50ed624-8da7-431a-b50f-d73f6547b153,COMPLETED,13.1,58.47,50.0
4,60802140-0068-4a8b-aa55-7d9380bd3916,COMPLETED,13.1,58.47,50.0
4,c86c174d-25af-40ae-9945-9ec066afbf94,COMPLETED,13.1,58.47,50.0
4,f380b1eb-1acc-4a3c-af87-f99055c9fad1,COMPLETED,13.1,58.47,50.0
4,5f86eac0-6bc9-4e1f-bee0-0dab598bf4db,COMPLETED,10.02,58.47,50.0
4,7e7d7dcb-7c91-45ac-a9c6-cdea0303c768,COMPLETED,10.02,58.47,50.0
4,ed6a25bc-03a4-47f0-8510-04793655dc77,COMPLETED,10.02,58.47,50.0
4,3516f4f2-ffde-4f52-b772-a3bb2df36f29,COMPLETED,10.02,58.47,50.0
4,4855b784-c7c2-442f-b79a-8065fec3c232,COMPLETED,10.02,58.47,50.0
4,e063d393-61aa-44c9-8b2c-ea3a462f859a,COMPLETED,10.02,58.47,50.0
4,3e3f5b66-e7a3-4659-8f9f-6ea69c766955,COMPLETED,10.02,58.47,50.0
4,13b6b0be-4cf6-49e5-a3a7-1c3a8c4eacb0,COMPLETED,10.02,58.47,50.0
4,945830be-a1ad-4d8d-a40f-9563059e7a36,COMPLETED,13.4,58.47,50.0
4,8afd0392-3489-4d03-b743-89602a79d1d3,COMPLETED,13.4,58.47,50.0
4,35582073-3df1-4dc0-8f74-fc9af931a810,COMPLETED,13.4,58.47,50.0
4,5ef96fc5-f105-46d2-9b15-48f3ab9a56c9,COMPLETED,13.4,58.47,50.0
