t_s,queued,scheduled,running,completed
0.0,0,0,0,0
2.1,19,0,1,0
4.1,19,0,1,0
6.1,19,0,1,0
8.1,19,0,1,0
10.1,19,0,1,0
12.1,18,0,1,1
14.1,18,0,1,1
16.1,18,0,1,1
18.1,18,0,1,1
20.2,18,0,1,1
22.2,17,0,1,2
27.5,17,0,1,2
29.5,17,0,1,2
31.5,17,0,1,2
33.5,17,0,1,2
35.5,16,0,1,3
37.6,16,0,1,3
39.6,16,0,1,3
41.6,16,0,1,3
43.6,16,0,1,3
45.6,15,0,1,4
47.6,15,0,1,4
49.6,15,0,1,4
51.6,15,0,1,4
53.6,15,0,1,4
55.9,14,0,1,5
61.0,14,0,1,5
63.0,14,0,1,5
65.0,14,0,1,5
67.0,14,0,1,5
69.0,14,0,0,6
71.0,13,0,1,6
73.0,13,0,1,6
75.1,13,0,1,6
77.1,13,0,1,6
79.1,13,0,1,6
81.1,12,0,1,7
83.1,12,0,1,7
85.1,12,0,1,7
87.1,12,0,1,7
92.2,12,0,1,7
94.2,11,0,1,8
96.2,11,0,1,8
98.2,11,0,1,8
100.2,11,0,1,8
102.2,11,0,1,8
104.2,10,0,1,9
106.3,10,0,1,9
108.3,10,0,1,9
110.3,10,0,1,9
112.3,10,0,1,9
114.3,9,0,1,10
116.3,9,0,1,10
118.3,9,0,1,10
120.3,9,0,1,10
125.7,9,0,1,10
127.7,8,0,1,11
129.7,8,0,1,11
131.7,8,0,1,11
133.7,8,0,1,11
135.7,8,0,1,11
137.7,7,0,1,12
139.7,7,0,1,12
141.7,7,0,1,12
143.8,7,0,1,12
145.8,7,0,1,12
147.8,6,0,1,13
149.8,6,0,1,13
151.8,6,0,1,13
153.8,6,0,1,13
159.2,6,0,1,13
161.2,5,0,1,14
163.2,5,0,1,14
165.2,5,0,1,14
167.2,5,0,1,14
169.2,5,0,1,14
171.2,4,1,0,15
173.3,4,0,1,15
175.3,4,0,1,15
177.3,4,0,1,15
179.3,4,0,1,15
181.3,4,0,1,15
183.3,3,0,1,16
185.3,3,0,1,16
187.3,3,0,1,16
192.9,3,0,1,16
194.9,3,0,1,16
196.9,2,0,1,17
198.9,2,0,1,17
200.9,2,0,1,17
202.9,2,0,1,17
204.9,2,0,1,17
206.9,1,0,1,18
209.0,1,0,1,18
211.0,1,0,1,18
213.0,1,0,1,18
215.0,1,0,1,18
217.0,0,0,1,19
219.0,0,0,1,19
221.0,0,0,1,19
226.4,0,0,1,19
228.5,0,0,1,19
230.5,0,0,0,20
