worker_count,job_id,state,duration_s,makespan_s,ideal_makespan_s
8,2eddb347-b9e8-4527-8002-399475de47ec,COMPLETED,13.48,35.43,25.0
8,4639f6aa-a1ea-4d82-9189-3e7f3a63279b,COMPLETED,13.44,35.43,25.0
8,89103d63-31bb-490a-95ae-865ee73b10ab,COMPLETED,13.45,35.43,25.0
8,3137ba74-c9e2-47cc-865d-c6912c1f6f35,COMPLETED,13.54,35.43,25.0
8,6275e377-a2bf-4d83-b988-b7b3d5cbf042,COMPLETED,13.41,35.43,25.0
8,0ba27e99-6ce8-48d8-9bbe-d7fd4c90e449,COMPLETED,13.57,35.43,25.0
8,e5d820a7-8390-4e26-bb18-927c10d941a8,COMPLETED,13.43,35.43,25.0
8,36534ead-d8d6-43d4-a08d-4b5ca4426a35,COMPLETED,13.61,35.43,25.0
8,b507b1ec-6264-411c-9b95-0f51de57a74d,COMPLETED,10.03,35.43,25.0
8,a2e3cb21-8a8e-4eab-8e55-42ad73372aaa,COMPLETED,10.03,35.43,25.0
8,90216968-368e-407b-af24-a60139f34e13,COMPLETED,10.02,35.43,25.0
8,ce79e217-3f6a-43e4-8803-dc5f9675ecb3,COMPLETED,10.02,35.43,25.0
8,5f0b2c57-c192-4380-a2ec-a58aafd50d7b,COMPLETED,10.02,35.43,25.0
8,d88b85d0-1d93-4c34-b3ae-dbce2d009792,COMPLETED,10.02,35.43,25.0
8,9461bd1d-5c55-431f-adbb-4e9b17a8d65f,COMPLETED,10.02,35.43,25.0
8,b2880845-fcab-4099-9366-4471ab4bad18,COMPLETED,10.02,35.43,25.0
8,90da67a0-7f46-412d-899f-e0253668dbf0,COMPLETED,10.02,35.43,25.0
8,e7a97e52-767c-4893-a4ac-63f5eb9af343,COMPLETED,10.02,35.43,25.0
8,3200a605-5664-4dd4-a76a-2b2741fb1e9c,COMPLETED,10.02,35.43,25.0
8,0c8b5f22-e1b9-4347-ab46-764652bd11b1,COMPLETED,10.02,35.43,25.0
